gene_name,tumor_samples_count,normal_samples_count,avg(tumor),avg(normal),avg(tumor)/avg(normal),avg(tumor)=0_count,avg(normal)=0_count
CNPY2,497,52,11.022244668,10.5357326923,1.0461773271882235,0,0
CNPY1,497,52,0.074607444668,0.129403846154,0.5765473506815899,437,40
NODAL,497,52,1.55971468813,2.095325,0.7443784081843021,34,2
SYNJ1,497,52,7.53817142857,7.86243076923,0.9587583852657484,0,0
KNDC1,497,52,4.72462152918,5.87091923077,0.8047498770573296,2,0
HMG20A,497,52,8.92123702213,9.48655576923,0.9404084305358158,0,0
HMG20B,497,52,12.1285080483,11.2970384615,1.073600668846271,0,0
PHOSPHO2,497,52,7.38790784708,6.93251923077,1.0656887635150107,0,0
AAGAB,497,52,10.0938748491,9.94055,1.015424181669482,0,0
C4orf19,497,52,5.17201710262,6.983,0.7406583277410417,5,0
C3orf79,497,52,0.0187830985915,0.0183615384615,1.022958867574951,483,50
SLC7A6OS,497,52,7.00802635815,7.41441538462,0.9451893365308702,0,0
C3orf77,497,52,0.0582913480885,0.0908884615385,0.6413503661723207,459,45
C3orf75,497,52,9.35513561368,9.25695961538,1.0106056418496536,0,0
C3orf74,497,52,0.150439637827,0.101307692308,1.4849774424832978,383,42
C4orf10,497,52,8.30763018109,8.5028,0.9770464060176082,0,0
C3orf72,497,52,2.92186720322,2.15497884615,1.3558681601140508,45,7
C3orf71,497,52,6.00211911469,6.01738076923,0.9974637379404875,0,0
C3orf70,497,52,7.51463782696,8.98905961538,0.8359759695108264,0,0
ZNF285,497,52,6.84237706237,6.29206730769,1.0874608817374158,0,0
MRO,497,52,2.95159758551,4.75409230769,0.6208540757059509,2,0
ZFP82,497,52,6.56015613682,6.65989615385,0.9850237879508635,0,0
CHFR,497,52,8.6394501006,8.33101923077,1.0370219851006046,0,0
EFHA1,497,52,10.0722283702,9.76848846154,1.0310938493584534,0,0
RTBDN,497,52,0.517479074447,0.449392307692,1.1515085273800247,241,24
EFHA2,497,52,6.1668305835,7.36707884615,0.8370794873086694,0,0
AAA1,497,52,0.0101368209256,0.00905,1.1200907100058917,488,51
GPR75,497,52,3.80696036217,5.03566153846,0.7560000474805769,6,0
NUDT9P1,497,52,1.82873299799,2.25791346154,0.8099216507358498,13,0
SYPL2,497,52,5.59347122736,6.52811538462,0.8568278741742451,0,0
RFX8,497,52,0.68561971831,0.727526923077,0.9423977265475945,165,14
ZNF222,497,52,5.92401851107,5.90909615385,1.00252531974971,0,0
RFX4,497,52,0.756862977867,1.27540961538,0.5934273732435065,233,16
OR2C3,497,52,1.0994305835,1.02194230769,1.0758245110564784,145,16
